no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,english,japanese,japanese_romanization,vietnamese,vietnamese_romanization,hakka_sixian_hanzi,hakka_sixian,hakka_sixian_display,hakka_sixian_match_type
393,未来,未來,미래,mi rae,未来,wèi lái,future,未来,mirai,mùi lai,mui lai,未來,vi-lòi,vi loiˇ,exact
394,轨道,軌道,궤도,gwe do,轨道,guǐ dào,track,軌道,kidou,quẫy đạo,quay dao,軌道,kúi-tho,guiˋ to,exact
395,出现,出現,출현,chul hyeon,出现,chū xiàn,appear,出現,shutsugen,xuất hiện,xuat hien,出現,chhut-hien,cudˋ hien,exact
396,制作,製作,제작,je jak,制作,zhì zuò,make,制作,seisaku,chế tác,che tac,製作,chṳ-chok,zii zogˋ,char_composed
397,变动,變動,변동,byeon dong,变动,biàn dòng,change,変動,hendou,biến động,bien dong,變動,pien-thûng,bien tungˊ,char_composed
398,民主,民主,민주,min ju,民主,mín zhǔ,democracy,民主,minshu,dân chúa,dan chua,民主,mìn-chú,minˇ zuˋ,exact
399,集团,集團,집단,jip dan,集团,jí tuán,group,集団,shuudan,tập đoàn,tap doan,集團,si̍p-thòn,xib tonˇ,char_composed
400,文章,文章,문장,mun jang,文章,wén zhāng,article,文章,bunshou,văn chương,van chuong,文章,vùn-chông,vunˇ zongˊ,exact
401,方针,方針,방침,bang chim,方针,fāng zhēn,policy,方針,houshin,phương châm,phuong cham,方針,fông-chṳ̂m,fongˊ ziimˊ,char_composed
402,行政,行政,행정,haeng jeong,行政,xíng zhèng,administrative,行政,gyousei,hàng chính,hang chinh,行政,hàng-chṳn,hangˇ ziin,exact
403,普及,普及,보급,bo geup,普及,pǔ jí,universal,普及,fukyuu,phổ cập,pho cap,普及,phû-khi̍p,puˊ kib,char_composed
404,以后,以後,이후,i hu,以后,yǐ hòu,after,以後,igo,hậu,hau,以後,yî-heu,iˊ heu,exact
405,课题,課題,과제,gwa je,课题,kè tí,topic,課題,kadai,khoá,khoa,課題,,,missing
406,兴奋,興奮,흥분,heung bun,兴奋,xīng fèn,excited,興奮,koufun,hưng phấn,hung phan,興奮,him-pín,him binˋ,char_composed
407,信号,信號,신호,sin ho,信号,xìn hào,signal,信号,shingou,tín hiệu,tin hieu,信號,sin-ho,xin ho,exact
408,增加,增加,증가,jeung ga,增加,zēng jiā,increase,増加,zouka,tăng gia,tang gia,增加,chên-kâ/(俗音)chen-kâ,zenˊ gaˊ/(俗音)zen gaˊ,exact
409,报道,報道,보도,bo do,报道,bào dào,report,報道,houdou,báo đạo,bao dao,報道,,,missing
410,化学,化學,화학,hwa hak,化学,huà xué,chemical,化学,kagaku,hoá học,hoa hoc,化學,fa-ho̍k,fa hog,exact
411,外交,外交,외교,oe gyo,外交,wài jiāo,diplomatic,外交,gaikou,ngoại giao,ngoai giao,外交,ngoi-kâu,ngoi gauˊ,exact
412,巨大,巨大,거대,geo dae,巨大,jù dà,huge,巨大,kyodai,đại,dai,巨大,khî-thai,kiˊ tai,char_composed
413,困难,困難,곤란,gon ran,困难,kùn nán,difficulty,困難,konnan,khốn nan,khon nan,困難,khun-nàn,kun nanˇ,exact
414,消化,消化,소화,so hwa,消化,xiāo huà,digestion,消化,shouka,tiêu hoá,tieu hoa,消化,sêu-fa,seuˊ fa,exact
415,进步,進步,진보,jin bo,进步,jìn bù,progress,進歩,shinpo,tiến bộ,tien bo,進步,chin-phu,jin pu,exact
416,整理,整理,정리,jeong ri,整理,zhěng lǐ,tidy,整理,seiri,chỉnh lí,chinh li,整理,chṳ́n-lî,ziinˋ liˊ,exact
417,创造,創造,창조,chang jo,创造,chuàng zào,create,創造,souzou,sáng tạo,sang tao,創造,chhóng-chho,congˋ co,exact
418,体力,體力,체력,che ryeok,体力,tǐ lì,physical strength,体力,tairyoku,thể lực,the luc,體力,thí-li̍t,tiˋ lid,char_composed
419,地位,地位,지위,ji wi,地位,dì wèi,status,地位,chii,địa vị,dia vi,地位,thi-vi,ti vi,exact
420,调节,調節,조절,jo jeol,调节,tiáo jié,adjust,調節,chousetsu,điều tiết,dieu tiet,調節,,,missing
421,统一,統一,통일,tong il,统一,tǒng yī,unified,統一,touitsu,thống nhất,thong nhat,統一,thúng-yit,tungˋ idˋ,exact
422,描写,描寫,묘사,myo sa,描写,miáo xiě,description,描写,byousha,miêu tả,mieu ta,描寫,mèu-siá,meuˇ xiaˋ,exact
423,应用,應用,응용,eung yong,应用,yìng yòng,application,応用,ouyou,ứng dụng,ung dung,應用,yin-yung,in iung,exact
424,革命,革命,혁명,hyeok myeong,革命,gé mìng,revolution,革命,kakumei,mệnh,menh,革命,kiet-min,giedˋ min,exact
425,竞争,競爭,경쟁,gyeong jaeng,竞争,jìng zhēng,compete,競争,kyousou,tranh,tranh,競爭,,,missing
426,强调,强調,강조,gang jo,强调,qiáng diào,emphasize,強調,kyouchou,điều,dieu,強調,khiòng-thiau,kiongˇ tiau,exact
427,交流,交流,교류,gyo ryu,交流,jiāo liú,comminicate,交流,kouryuu,giao lưu,giao luu,交流,kâu-liù,gauˊ liuˇ,exact
428,混合,混合,혼합,hon hap,混合,hùn hé,mix,混合,kongou,hổn hợp,hon hop,混合,fun-ha̍p,fun hab,exact
429,实践,實踐,실천,sil cheon,实践,shí jiàn,practice,実践,jissen,thực,thuc,實踐,sṳ̍t-chhien,siid qien,exact
430,集合,集合,집합,jip hap,集合,jí hé,gather,集合,shuugou,tập hợp,tap hop,集合,si̍p-ha̍p,xib hab,exact
431,图书,圖書,도서,do seo,图书,tú shū,books,図書,tosho,đồ thư,do thu,圖書,thù-sû,tuˇ suˊ,char_composed
432,改良,改良,개량,gae ryang,改良,gǎi liáng,improve,改良,kairyou,lương,luong,改良,kói-liòng,goiˋ liongˇ,exact
433,供给,供給,공급,gong geup,供给,gōng jǐ,supply,供給,kyoukyuu,cung cấp,cung cap,供給,kiung-kip,giung gibˋ,char_composed
434,减少,減少,감소,gam so,减少,jiǎn shǎo,reduce,減少,genshou,giảm thiểu,giam thieu,減少,kám-séu,gamˋ seuˋ,exact
435,支援,支援,지원,ji won,支援,zhī yuán,support,支援,shien,chi viện,chi vien,支援,kî-yên,giˊ ienˊ,char_composed
436,指示,指示,지시,ji si,指示,zhǐ shì,instruct,指示,shiji,chỉ kì,chi ki,指示,chṳ́-sṳ,ziiˋ sii,exact
437,手段,手段,수단,su dan,手段,shǒu duàn,means,手段,shudan,thủ đoạn,thu doan,手段,sú-thon,suˋ ton,exact
438,促进,促進,촉진,chok jin,促进,cù jìn,promote,促進,sokushin,xúc tiến,xuc tien,促進,chhuk-chin,cugˋ jin,exact
439,大气,大氣,대기,dae gi,大气,dà qì,atmosphere,大気,taiki,đại khí,dai khi,大氣,thai-hi,tai hi,exact
440,适当,適當,적당,jeok dang,适当,shì dàng,appropriate,適当,tekitou,thích đương,thich duong,適當,sṳt-tông/(又讀)tit-tông,siidˋ dongˊ/(又讀)didˋ dongˊ,exact
441,疲劳,疲勞,피로,pi ro,疲劳,pí láo,fatigue,疲労,hirou,bì lao,bi lao,疲勞,phì-lò,piˇ loˇ,exact
442,法律,法律,법률,beop ryul,法律,fǎ lǜ,law,法律,houritsu,pháp luật,phap luat,法律,fap-li̍t,fabˋ lid,exact
443,解放,解放,해방,hae bang,解放,jiě fàng,liberation,解放,kaihou,giải phóng,giai phong,解放,kié-fong,gieˋ fong,char_composed
444,强烈,强烈,강렬,gang ryeol,强烈,qiáng liè,strong,強烈,kyouretsu,liệt,liet,强烈,,,missing
445,幻想,幻想,환상,hwan sang,幻想,huàn xiǎng,fantasy,幻想,gensou,ảo tưởng,ao tuong,幻想,fan-sióng,fan xiongˋ,char_composed
446,呼吸,呼吸,호흡,ho heup,呼吸,hū xī,breathe,呼吸,kokyuu,hô cộp,ho cop,呼吸,fû-khip,fuˊ kibˋ,char_composed
447,时刻,時刻,시각,si gak,时刻,shí kè,time,時刻,jikoku,thì khắc,thi khac,時刻,sṳ̀-khat,siiˇ kadˋ,char_composed
448,柔软,柔軟,유연,yu yeon,柔软,róu ruǎn,soft,柔軟,juunan,nhu nhuyễn,nhu nhuyen,柔軟,yù-ngiôn,iuˇ ngionˊ,char_composed
449,证据,證據,증거,jeung geo,证据,zhèng jù,evidence,証拠,shouko,chứng cớ,chung co,證據,chṳn-kí,ziin giˋ,exact
450,农业,農業,농업,nong eop,农业,nóng yè,agriculture,農業,nougyou,nông nghiệp,nong nghiep,農業,nùng-ngia̍p,nungˇ ngiab,exact
451,发达,發達,발달,bal dal,发达,fā dá,developed,発達,hattatsu,phát đạt,phat dat,發達,fat-tha̍t,fadˋ tad,exact
452,半岛,半島,반도,ban do,半岛,bàn dǎo,peninsula,半島,han shima,bán đảo,ban dao,半島,,,missing
453,老人,老人,노인,no in,老人,lǎo rén,elder,老人,roujin,lão nhân,lao nhan,老人,ló-ngìn,loˋ nginˇ,exact
454,记载,記載,기재,gi jae,记载,jì zǎi,record,記載,kisai,kí tải,ki tai,記載,ki-chai,gi zai,exact
455,禁止,禁止,금지,geum ji,禁止,jìn zhǐ,prohibit,禁止,kinshi,cấm chỉ,cam chi,禁止,kim-chṳ́,gim ziiˋ,exact
456,形成,形成,형성,hyeong seong,形成,xíng chéng,form,形成,keisei,hình thành,hinh thanh,形成,hìn-sàng,hinˇ sangˇ,char_composed
457,人口,人口,인구,in gu,人口,rén kǒu,population,人口,jinkou,nhân khẩu,nhan khau,人口,ngìn-khiéu,nginˇ kieuˋ,exact
458,人工,人工,인공,in gong,人工,rén gōng,artificial,人工,jinkou,nhân công,nhan cong,人工,ngìn-kûng,nginˇ gungˊ,exact
459,生物,生物,생물,saeng mul,生物,shēng wù,biology,生物,seibutsu,sinh vật,sinh vat,生物,sên-vu̍t,senˊ vud,exact
460,地点,地點,지점,ji jeom,地点,dì diǎn,place,地点,chiten,địa điểm,dia diem,地點,thi-tiám,ti diamˋ,exact
461,中间,中間,중간,jung gan,中间,zhōng jiān,middle,中間,chuukan,trung gian,trung gian,中間,chûng-kiên,zungˊ gienˊ,exact
462,破坏,破壞,파괴,pa goe,破坏,pò huài,destroy,破壊,hakai,phá hoại,pha hoai,破壞,pho-fai,po fai,exact
463,博士,博士,박사,bak sa,博士,bó shì,phd,博士,hakase,bác sĩ,bac si,博士,pok-sṳ,bogˋ sii,exact
464,感激,感激,감격,gam gyeok,感激,gǎn jī,gratitude,感激,kangeki,cảm khích,cam khich,感激,kám-kit,gamˋ gidˋ,exact
465,考虑,考慮,고려,go ryeo,考虑,kǎo lǜ,consider,考慮,kouryo,khảo lự,khao lu,考慮,kháu-li,kauˋ li,exact
466,混乱,混亂,혼란,hon ran,混乱,hùn luàn,confusion,混乱,konran,hổn loạn,hon loan,混亂,fun-lon,fun lon,exact
467,水平,水平,수평,su pyeong,水平,shuǐ píng,level,水平,suihei,thuỷ bình,thuy binh,水平,súi-phìn,suiˋ pinˇ,char_composed
468,创立,創立,창립,chang rip,创立,chuàng lì,founded,創立,souritsu,sáng lập,sang lap,創立,chhóng-li̍p,congˋ lib,char_composed
469,帝国,帝國,제국,je guk,帝国,dì guó,empire,帝国,teikoku,đấy quốc,day quoc,帝國,,,missing
470,投入,投入,투입,tu ip,投入,tóu rù,invest,投入,tounyuu,đầu nhập,dau nhap,投入,thèu-ngi̍p,teuˇ ngib,exact
471,日记,日記,일기,il gi,日记,rì jì,journal,日記,nikki,nhật kí,nhat ki,日記,ngit-ki,ngidˋ gi,exact
472,有利,有利,유리,yu ri,有利,yǒu lì,favorable,有利,yuuri,hữu lợi,huu loi,有利,yû-li,iuˊ li,char_composed
473,一旦,一旦,일단,il dan,一旦,yí dàn,once,一旦,ittan,nhất đán,nhat dan,一旦,yit-tán,idˋ danˋ,char_composed
474,一致,一致,일치,il chi,一致,yí zhì,consistent,一致,itchi,nhất nhí,nhat nhi,一致,yit-chṳ,idˋ zii,char_composed
475,学者,學者,학자,hak ja,学者,xué zhě,scholar,学者,gakusha,học,hoc,學者,ho̍k-chá,hog zaˋ,exact
476,教师,敎師,교사,gyo sa,教师,jiào shī,teacher,教師,kyoushi,sư,su,教師,kau-sṳ̂,gau siiˊ,exact
477,经过,經過,경과,gyeong gwa,经过,jīng guò,go through,経過,keika,kinh quá,kinh qua,經過,kîn-ko,ginˊ go,exact
478,原理,原理,원리,won ri,原理,yuán lǐ,principle,原理,genri,nguyên lí,nguyen li,原理,,,missing
479,公共,公共,공공,gong gong,公共,gōng gòng,public,公共,koukyou,công cộng,cong cong,公共,,,missing
480,幸福,幸福,행복,haeng bok,幸福,xìng fú,happiness,幸福,koufuku,phúc,phuc,幸福,hen-fuk,hen fugˋ,exact
481,思考,思考,사고,sa go,思考,sī kǎo,think,思考,shikou,tư khảo,tu khao,思考,sṳ̂-kháu,siiˊ kauˋ,exact
482,将军,將軍,장군,jang gun,将军,jiāng jūn,general,将軍,shougun,tướng quân,tuong quan,將軍,chiông-kiûn,jiongˊ giunˊ,exact
483,宣传,宣傳,선전,seon jeon,宣传,xuān chuán,publicity,宣伝,senden,tuyên truyền,tuyen truyen,宣傳,siên-chhòn,xienˊ conˇ,char_composed
484,爱好,愛好,애호,ae ho,爱好,ài hào,hobby,愛好,aikou,háo,hao,愛好,oi-hau,oi hau,char_composed
485,角度,角度,각도,gak do,角度,jiǎo dù,angle,角度,kakudo,góc độ,goc do,角度,,,missing
486,结论,結論,결론,gyeol ron,结论,jié lùn,in conclusion,結論,ketsuron,kết luận,ket luan,結論,kiet-lun,giedˋ lun,exact
487,商人,商人,상인,sang in,商人,shāng rén,merchant,商人,shounin,thương nhân,thuong nhan,商人,sông-ngìn,songˊ nginˇ,char_composed
488,商店,商店,상점,sang jeom,商店,shāng diàn,shop,商店,shouten,thương điếm,thuong diem,商店,sông-tiam,songˊ diam,exact
489,消耗,消耗,소모,so mo,消耗,xiāo hào,consume,消耗,shoumou,tiêu hao,tieu hao,消耗,sêu-hô/(又讀)sêu-mô,seuˊ hoˊ/(又讀)seuˊ moˊ,exact
490,招待,招待,초대,cho dae,招待,zhāo dài,entertain,招待,shoutai,chiêu đãi,chieu dai,招待,chêu-thai,zeuˊ tai,exact
491,深刻,深刻,심각,sim gak,深刻,shēn kè,profound,深刻,shinkoku,thâm khắc,tham khac,深刻,chhṳ̂m-khiet,ciimˊ kiedˋ,exact
492,振动,振動,진동,jin dong,振动,zhèn dòng,vibration,振動,shindou,chấn động,chan dong,振動,chṳ́n-thûng,ziinˋ tungˊ,char_composed
493,电力,電力,전력,jeon ryeok,电力,diàn lì,electricity,電力,denryoku,lực,luc,電力,thien-li̍t,tien lid,char_composed
494,热心,熱心,열심,yeol sim,热心,rè xīn,enthusiastic,熱心,nesshin,nhiệt tâm,nhiet tam,熱心,ngie̍t-sîm,ngied ximˊ,exact
495,年代,年代,연대,yeon dae,年代,nián dài,era,年代,nendai,nên đại,nen dai,年代,ngièn-thoi,ngienˇ toi,exact
496,官僚,官僚,관료,gwan ryo,官僚,guān liáo,bureaucracy,官僚,kanryou,quan liêu,quan lieu,官僚,kôn-liàu,gonˊ liauˇ,char_composed
497,光景,光景,광경,gwang gyeong,光景,guāng jǐng,scene,光景,koukei,quang cảnh,quang canh,光景,kông-kín,gongˊ ginˋ,exact
498,合成,合成,합성,hap seong,合成,hé chéng,synthesis,合成,gousei,hợp thành,hop thanh,合成,kap-sàng,gabˋ sangˇ,char_composed
499,色彩,色彩,색채,saek chae,色彩,sè cǎi,color,色彩,shikisai,sắc thái,sac thai,色彩,set-chhái,sedˋ caiˋ,exact
500,死亡,死亡,사망,sa mang,死亡,sǐ wáng,die,死亡,shibou,tợ vong,to vong,死亡,sí-mòng,xiˋ mongˇ,char_composed
501,若干,若干,약간,yak gan,若干,ruò gān,several,若干,jakkan,nhược can,nhuoc can,若干,na-kôn,na gonˊ,char_composed
502,亲切,親切,친절,chin jeol,亲切,qīn qiè,kind,親切,shinsetsu,thân thiết,than thiet,親切,chhîn-chhiet,qinˊ qiedˋ,exact
503,人类,人類,인류,in ryu,人类,rén lèi,human,人類,jinrui,nhân loại,nhan loai,人類,ngìn-lui,nginˇ lui,exact
504,石油,石油,석유,seok yu,石油,shí yóu,oil,石油,sekiyu,thạch dầu,thach dau,石油,sa̍k-yù,sag iuˇ,exact
505,鲜明,鮮明,선명,seon myeong,鲜明,xiān míng,distinct,鮮明,senmei,tiên minh,tien minh,鮮明,siên-mìn,xienˊ minˇ,char_composed
506,体系,體系,체계,che gye,体系,tǐ xì,system,体系,taikei,thể hệ,the he,體系,thí-he,tiˋ he,char_composed
507,停止,停止,정지,jeong ji,停止,tíng zhǐ,stop,停止,teishi,đình chỉ,dinh chi,停止,thìn-chṳ́,tinˇ ziiˋ,char_composed
508,平行,平行,평행,pyeong haeng,平行,píng xíng,parallel,平行,heikou,bình hàng,binh hang,平行,phìn-hen,pinˇ hen,char_composed
509,贸易,貿易,무역,mu yeok,贸易,mào yì,trading,貿易,boueki,dịch,dich,貿易,meu-yi,meu i,char_composed
510,明确,明確,명확,myeong hwak,明确,míng què,clear,明確,meikaku,minh xác,minh xac,明確,mìn-khok,minˇ kogˋ,char_composed
511,违反,違反,위반,wi ban,违反,wéi fǎn,violation,違反,ihan,vi phản,vi phan,違反,vì-fán,viˇ fanˋ,exact
512,区别,區別,구별,gu byeol,区别,qū bié,the difference,区別,kubetsu,khu biết,khu biet,區別,ô-phe̍t,oˊ ped,char_composed
513,继续,繼續,계속,gye sok,继续,jì xù,continue,継続,keizoku,kế tục,ke tuc,繼續,,,missing
514,原料,原料,원료,won ryo,原料,yuán liào,raw material,原料,genryou,nguyên liệu,nguyen lieu,原料,ngièn-liau,ngienˇ liau,exact
515,古代,古代,고대,go dae,古代,gǔ dài,ancient times,古代,kodai,cổ đại,co dai,古代,,,missing
516,顾客,顧客,고객,go gaek,顾客,gù kè,customer,顧客,kokyaku,cố khách,co khach,顧客,,,missing
517,根本,根本,근본,geun bon,根本,gēn běn,fundamental,根本,konpon,căn bản,can ban,根本,kîn-pún,ginˊ bunˋ,exact
518,自治,自治,자치,ja chi,自治,zì zhì,autonomy,自治,jichi,tự trị,tu tri,自治,chhṳ-chhṳ,cii cii,char_composed
519,首都,首都,수도,su do,首都,shǒu dū,capital,首都,shuto,thủ đô,thu do,首都,sú-tû,suˋ duˊ,char_composed
520,推进,推進,추진,chu jin,推进,tuī jìn,advance,推進,suishin,suy tiến,suy tien,推進,,,missing
521,势力,勢力,세력,se ryeok,势力,shì lì,power,勢力,seiryoku,thế lực,the luc,勢力,sṳ-li̍t,sii lid,exact
522,创作,創作,창작,chang jak,创作,chuàng zuò,creation,創作,sousaku,sáng tác,sang tac,創作,chhóng-chok,congˋ zogˋ,exact
523,适应,適應,적응,jeok eung,适应,shì yìng,adapt,適応,tekiou,thích ứng,thich ung,適應,tit-en,didˋ en,char_composed
524,同一,同一,동일,dong il,同一,tóng yī,same,同一,douitsu,đồng nhất,dong nhat,同一,thùng-yit,tungˇ idˋ,char_composed
525,爆发,爆發,폭발,pok bal,爆发,bào fā,break out,爆発,bakuhatsu,phát,phat,爆發,pau-fat/(又讀)phau-fat,bau fadˋ/(又讀)pau fadˋ,exact
526,分解,分解,분해,bun hae,分解,fēn jiě,break down,分解,bunkai,phân giải,phan giai,分解,fûn-kié,funˊ gieˋ,exact
527,修正,修正,수정,su jeong,修正,xiū zhèng,correction,修正,shuusei,tu chính,tu chinh,修正,siû-chṳn,xiuˊ ziin,char_composed
528,接触,接觸,접촉,jeop chok,接触,jiē chù,touch,接触,sesshoku,tiếp xúc,tiep xuc,接觸,chiap-chhuk,jiabˋ cugˋ,exact
529,宣言,宣言,선언,seon eon,宣言,xuān yán,declaration,宣言,sengen,tuyên ngôn,tuyen ngon,宣言,siên-ngièn,xienˊ ngienˇ,char_composed
530,大战,大戰,대전,dae jeon,大战,dà zhàn,war,大戦,taisen,đại chiến,dai chien,大戰,thai-chan,tai zan,char_composed
531,有力,有力,유력,yu ryeok,有力,yǒu lì,powerful,有力,yuuryoku,hữu lực,huu luc,有力,yû-li̍t,iuˊ lid,exact
532,开幕,開幕,개막,gae mak,开幕,kāi mù,opening,開幕,kaimaku,khai,khai,開幕,khôi-mok,koiˊ mogˋ,exact
533,觉悟,覺悟,각오,gak o,觉悟,jué wù,consciousness,覚悟,kakugo,giác,giac,覺悟,,,missing
534,过程,過程,과정,gwa jeong,过程,guò chéng,process,過程,katei,quá trình,qua trinh,過程,ko-chhàng,go cangˇ,exact
535,居住,居住,거주,geo ju,居住,jū zhù,live,居住,kyojuu,cư trú,cu tru,居住,kî-chhu,giˊ cu,exact
536,偶然,偶然,우연,u yeon,偶然,ǒu rán,accidental,偶然,guuzen,ngẫu nhiên,ngau nhien,偶然,ngiéu-yèn,ngieuˋ ienˇ,char_composed
537,地震,地震,지진,ji jin,地震,dì zhèn,earthquake,地震,jishin,địa,dia,地震,thi-chṳ́n,ti ziinˋ,char_composed
538,资本,資本,자본,ja bon,资本,zī běn,capital,資本,shihon,bản,ban,資本,chṳ̂-pún,ziiˊ bunˋ,exact
539,政党,政黨,정당,jeong dang,政党,zhèng dǎng,political party,政党,seitou,chính,chinh,政黨,chṳn-tóng,ziin dongˋ,exact
540,对立,對立,대립,dae rip,对立,duì lì,opposition,対立,tairitsu,đỗi lập,doi lap,對立,ti-li̍p,di lib,char_composed
541,大众,大衆,대중,dae jung,大众,dà zhòng,public,大衆,taishuu,đại,dai,大衆,,,missing
542,大地,大地,대지,dae ji,大地,dà dì,earth,大地,daichi,đại địa,dai dia,大地,thai-thi,tai ti,char_composed
543,通过,通過,통과,tong gwa,通过,tōng guò,pass,通過,tsuuka,thông quá,thong qua,通過,thûng-ko,tungˊ go,exact
544,动力,動力,동력,dong ryeok,动力,dòng lì,power,動力,douryoku,động lực,dong luc,動力,thûng-li̍t,tungˊ lid,char_composed
545,农药,農藥,농약,nong yak,农药,nóng yào,pesticide,農薬,nouyaku,nông dược,nong duoc,農藥,nùng-yo̍k,nungˇ iog,exact
546,犯罪,犯罪,범죄,beom joe,犯罪,fàn zuì,crime,犯罪,hanzai,phạm tội,pham toi,犯罪,fam-chhui,fam cui,exact
547,武器,武器,무기,mu gi,武器,wǔ qì,arms,武器,buki,vũ khí,vu khi,武器,vú-hi,vuˋ hi,exact
548,部长,部長,부장,bu jang,部长,bù zhǎng,minister,部長,buchou,bộ trường,bo truong,部長,phu-chóng,pu zongˋ,exact
549,压力,壓力,압력,ap ryeok,压力,yā lì,pressure,圧力,atsuryoku,áp lực,ap luc,壓力,ap-li̍t,abˋ lid,exact
550,气压,氣壓,기압,gi ap,气压,qì yā,air pressure,気圧,kiatsu,khí áp,khi ap,氣壓,,,missing
551,结合,結合,결합,gyeol hap,结合,jié hé,combine,結合,ketsugou,kết hợp,ket hop,結合,kiet-ha̍p,giedˋ hab,exact
552,公式,公式,공식,gong sik,公式,gōng shì,formula,公式,koushiki,công thức,cong thuc,公式,,,missing
553,财产,財産,재산,jae san,财产,cái chǎn,property,財産,zaisan,tài sản,tai san,財産,,,missing
554,重大,重大,중대,jung dae,重大,zhòng dà,major,重大,juudai,trọng đại,trong dai,重大,chhung-thai,cung tai,exact
555,接近,接近,접근,jeop geun,接近,jiē jìn,near,接近,sekkin,tiếp cận,tiep can,接近,chiap-khiun,jiabˋ kiun,exact
556,大陆,大陸,대륙,dae ryuk,大陆,dà lù,mainland,大陸,tairiku,đại lục,dai luc,大陸,thai-liu̍k,tai liug,exact
557,适合,適合,적합,jeok hap,适合,shì hé,suitable,適合,tekigou,thích hợp,thich hop,適合,sṳt-ha̍p,siidˋ hab,exact
558,反映,反映,반영,ban yeong,反映,fǎn yìng,reflect,反映,han'ei,phản ánh,phan anh,反映,,,missing
559,分布,分布,분포,bun po,分布,fēn bù,distributed,分布,bunpu,phân bố,phan bo,分布,fûn-pu,funˊ bu,exact
560,卫星,衛星,위성,wi seong,卫星,wèi xīng,satellite,衛星,eisei,vệ tinh,ve tinh,衛星,vi-sên,vi senˊ,char_composed
561,确定,確定,확정,hwak jeong,确定,què dìng,sure,確定,kakutei,xác định,xac dinh,確定,khok-thin,kogˋ tin,exact
562,可怜,可憐,가련,ga ryeon,可怜,kě lián,pitiful,可憐,karen,khả,kha,可憐,khó-lièn,koˋ lienˇ,exact
563,气象,氣象,기상,gi sang,气象,qì xiàng,meteorological,気象,kishou,khí tượng,khi tuong,氣象,hi-siong,hi xiong,exact
564,义务,義務,의무,ui mu,义务,yì wù,obligation,義務,gimu,nghĩa vụ,nghia vu,義務,ngi-vu,ngi vu,exact
565,形态,形態,형태,hyeong tae,形态,xíng tài,form,形態,keitai,hình thái,hinh thai,形態,hìn-thai,hinˇ tai,char_composed
566,差别,差別,차별,cha byeol,差别,chā bié,difference,差別,sabetsu,sai biết,sai biet,差別,chhâ-phie̍t/(又讀)chhâ-phe̍t,caˊ pied/(又讀)caˊ ped,exact
567,性质,性質,성질,seong jil,性质,xìng zhì,nature,性質,seishitsu,tính chất,tinh chat,性質,sin-chṳt,xin ziidˋ,exact
568,地形,地形,지형,ji hyeong,地形,dì xíng,terrain,地形,chikei,địa hình,dia hinh,地形,thi-hìn,ti hinˇ,exact
569,动机,動機,동기,dong gi,动机,dòng jī,motivation,動機,douki,động cơ,dong co,動機,thung-kî,tung giˊ,exact
570,东南,東南,동남,dong nam,东南,dōng nán,southeast,東南,tounan,đang nam,dang nam,東南,tûng-nàm,dungˊ namˇ,char_composed
571,平等,平等,평등,pyeong deung,平等,píng děng,equality,平等,byoudou,bình đẳng,binh dang,平等,(文)phìn-tén/(白)phiàng-tén,(文)pinˇ denˋ/(白)piangˇ denˋ,exact
572,勇气,勇氣,용기,yong gi,勇气,yǒng qì,courage,勇気,yuuki,dũng khí,dung khi,勇氣,yúng-hi,iungˋ hi,exact
573,英雄,英雄,영웅,yeong ung,英雄,yīng xióng,hero,英雄,eiyuu,anh hùng,anh hung,英雄,yîn-hiùng,inˊ hiungˇ,exact
574,改正,改正,개정,gae jeong,改正,gǎi zhèng,correct,改正,kaisei,chính,chinh,改正,kói-chṳn,goiˋ ziin,exact
575,学问,學問,학문,hak mun,学问,xué wèn,knowledge,学問,gakumon,học,hoc,學問,ho̍k-mun,hog mun,exact
576,基地,基地,기지,gi ji,基地,jī dì,base,基地,kichi,cơ địa,co dia,基地,,,missing
577,军事,軍事,군사,gun sa,军事,jūn shì,military,軍事,gunji,quân sự,quan su,軍事,kiûn-se,giunˊ se,char_composed
578,权利,權利,권리,gwon ri,权利,quán lì,right,権利,kenri,quyền lợi,quyen loi,權利,khièn-li,kienˇ li,exact
579,紧急,緊急,긴급,gin geup,紧急,jǐn jí,urgent,緊急,kinkyuu,khẩn cấp,khan cap,緊急,kín-kip,ginˋ gibˋ,exact
580,个别,個別,개별,gae byeol,个别,gè bié,individual,個別,kobetsu,cá biết,ca biet,個別,ke-phe̍t,ge ped,char_composed
581,行为,行爲,행위,haeng wi,行为,xíng wéi,behavior,行為,koui,hàng vay,hang vay,行為,hàng-vì,hangˇ viˇ,exact
582,后悔,後悔,후회,hu hoe,后悔,hòu huǐ,regret,後悔,koukai,hậu hối,hau hoi,後悔,heu-fí,heu fiˋ,exact
583,皇帝,皇帝,황제,hwang je,皇帝,huáng dì,emperor,皇帝,koutei,hoàng đấy,hoang day,皇帝,fòng-ti,fongˇ di,exact
584,根据,根據,근거,geun geo,根据,gēn jù,according to,根拠,konkyo,căn cớ,can co,根據,kîn-kí,ginˊ giˋ,exact
585,食堂,食堂,식당,sik dang,食堂,shí táng,canteen,食堂,shokudou,đường,duong,食堂,sṳ̍t-thòng,siid tongˇ,exact
586,垂直,垂直,수직,su jik,垂直,chuí zhí,vertical,垂直,suichoku,thùy,thuy,垂直,sùi-chhṳ̍t,suiˇ ciid,char_composed
