no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,japanese,japanese_romanization,vietnamese,vietnamese_romanization
617,意义,意義,의의,ui ui,意义,yì yì,意義,igi,ý nghĩa,y nghia
618,各自,各自,각자,gak ja,各自,gè zì,各自,kakuji,các tự,cac tu
619,讲义,講義,강의,gang ui,讲义,jiǎng yì,講義,kougi,giảng nghĩa,giang nghia
620,数学,數學,수학,su hak,数学,shù xué,数学,suugaku,số học,so hoc
621,生存,生存,생존,saeng jon,生存,shēng cún,生存,seizon,sinh tồn,sinh ton
622,地带,地帶,지대,ji dae,地带,dì dài,地帯,chitai,địa đai,dia dai
623,秩序,秩序,질서,jil seo,秩序,zhì xù,秩序,chitsujo,trật tựa,trat tua
624,部队,部隊,부대,bu dae,部队,bù duì,部隊,butai,bộ đội,bo doi
625,分裂,分裂,분열,bun yeol,分裂,fēn liè,分裂,bunretsu,phân,phan
626,容器,容器,용기,yong gi,容器,róng qì,容器,youki,dung khí,dung khi
627,观念,觀念,관념,gwan nyeom,观念,guān niàn,観念,kannen,quan niệm,quan niem
628,气候,氣候,기후,gi hu,气候,qì hòu,気候,kikou,khí hầu,khi hau
629,刑事,刑事,형사,hyeong sa,刑事,xíng shì,刑事,keiji,hình sự,hinh su
630,继承,繼承,계승,gye seung,继承,jì chéng,継承,keishou,kế thừa,ke thua
631,财政,財政,재정,jae jeong,财政,cái zhèng,財政,zaisei,tài chính,tai chinh
632,少数,少數,소수,so su,少数,shǎo shù,少数,shousuu,thiểu số,thieu so
633,条约,條約,조약,jo yak,条约,tiáo yuē,条約,jouyaku,điều ước,dieu uoc
634,人体,人體,인체,in che,人体,rén tǐ,人体,jintai,nhân thể,nhan the
635,进入,進入,진입,jin ip,进入,jìn rù,進入,shinnyuu,tiến nhập,tien nhap
636,正式,正式,정식,jeong sik,正式,zhèng shì,正式,seishiki,chính thức,chinh thuc
637,电压,電壓,전압,jeon ap,电压,diàn yā,電圧,den'atsu,áp,ap
638,必须,必須,필수,pil su,必须,bì xū,必須,hissu,tất tua,tat tua
639,分量,分量,분량,bun ryang,分量,fèn liàng,分量,bunryou,phân,phan
640,兵士,兵士,병사,byeong sa,兵士,bīng shì,兵士,heishi,binh sĩ,binh si
641,平凡,平凡,평범,pyeong beom,平凡,píng fán,平凡,heibon,bình phàm,binh pham
642,万一,萬一,만일,man il,万一,wàn yī,万一,man'ichi,vạn nhất,van nhat
643,命令,命令,명령,myeong ryeong,命令,mìng lìng,命令,meirei,mệnh lệnh,menh lenh
644,猛烈,猛烈,맹렬,maeng ryeol,猛烈,měng liè,猛烈,mouretsu,mãnh liệt,manh liet
645,预报,豫報,예보,ye bo,预报,yù bào,予報,yohou,báo,bao
646,观点,觀點,관점,gwan jeom,观点,guān diǎn,観点,kanten,quan điểm,quan diem
647,军人,軍人,군인,gun in,军人,jūn rén,軍人,gunjin,quân nhân,quan nhan
648,宪法,憲法,헌법,heon beop,宪法,xiàn fǎ,憲法,kenpou,hiến pháp,hien phap
649,山地,山地,산지,san ji,山地,shān dì,山地,sanchi,sơn địa,son dia
650,所在,所在,소재,so jae,所在,suǒ zài,所在,shozai,sỡ tại,so tai
651,相互,相互,상호,sang ho,相互,xiāng hù,相互,sougo,tương hỗ,tuong ho
652,总理,總理,총리,chong ri,总理,zǒng lǐ,総理,souri,tổng lí,tong li
653,尊重,尊重,존중,jon jung,尊重,zūn zhòng,尊重,sonchou,tôn trọng,ton trong
654,电流,電流,전류,jeon ryu,电流,diàn liú,電流,denryuu,lưu,luu
655,同意,同意,동의,dong ui,同意,tóng yì,同意,doui,đồng ý,dong y
656,比例,比例,비례,bi rye,比例,bǐ lì,比例,hirei,tỉ lề,ti le
657,分配,分配,분배,bun bae,分配,fēn pèi,分配,bunpai,phân phối,phan phoi
658,木材,木材,목재,mok jae,木材,mù cái,木材,mokuzai,mộc,moc
